index,before_pt,after_pt,before_area,after_area
71,74,29,16084,16015,0.428998
71,52,16,13694,13633,0.445451
72,1,1,22633,22731,0.432996
72,1,1,3,3,0.000000
72,20,9,291,270,7.216495
72,255,102,1,1,0.000000
72,1,1,30,19,36.666668
72,1,1,454,422,7.048458
72,2,2,38982,38727,0.654148
72,6,4,65,46,29.230770
72,2,2,69,59,14.492754
72,7,3,1,1,0.000000
72,5,3,384,335,12.760417
72,1,1,3,3,0.000000
72,5,4,3,3,0.000000
72,8,5,6,4,33.333332
72,4,3,4,4,0.000000
72,8,5,1,1,0.000000
72,5,3,14,11,21.428572
72,13,5,12,12,0.000000
72,1,1,4,4,0.000000
72,1,1,1,1,0.000000
72,2,2,1,1,0.000000
72,3,3,80,59,26.250000
72,4,3,18,17,5.555555
72,1,1,27444,27319,0.455473
72,2,2,1223,1049,14.227310
72,3,2,1,1,0.000000
72,2,2,1,0,100.000000
72,2,2,0,0,0.000000
72,26,16,0,0,0.000000
72,2,2,0,0,0.000000
72,1,1,0,0,0.000000
72,8,5,0,0,0.000000
72,8,5,0,0,0.000000
72,224,93,0,0,0.000000
72,8,7,0,0,0.000000
72,7,5,0,0,0.000000
72,4,3,0,0,0.000000
72,18,8,0,0,0.000000
72,1,1,0,0,0.000000
72,2,2,0,0,0.000000
